name,type,latitude,longitude,room_rate_lkr,rating,district,province
Shangri-La Colombo,Hotel,6.927079,79.861244,15000,4.5,Colombo,Western
Galle Face Hotel,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Flavoured at Cinnamon Red,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Chutneys At Cinnamon Grand Colombo,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Ramada by Wyndham Colombo,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Zest Metropole,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Oak Ray Flower Drum Restaurant,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Fairview Hotel,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Isso,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Palmyrah Restaurant,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Navratna,Restaurant,6.927079,79.861244,25000,4.5,Colombo,Western
Marino Beach Colombo,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Lavonca Boutique Hotel,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
"""27"" Spathodea - Oasis In The City",Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Sunrise Boutique,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
The Havelock Place Bungalow,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Global Towers Hotel,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Galadari Hotel,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Metro City Hotel,Hotel,6.927079,79.861244,5000,3.0,Colombo,Western
Rockwell Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
CityRest Fort,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Paradise Road Tintagel Colombo,Hotel,6.927079,79.861244,15000,4.5,Colombo,Western
Cinnamon Lakeside Colombo,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Highbury Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Saveira Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
De Saram House by Geoffrey Bawa,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Ivy Lane Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Colombo Beach Hostel,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Best Western Elyon Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Earl's Red Colombo,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Courtyard by Marriott Colombo,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Hotel Nippon,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Long Feng – Cinnamon Lakeside,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Opulence Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Ceylon Curry Club,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Hilton Colombo,Hotel,6.927079,79.861244,10000,4.0,Colombo,Western
Ellen’s Place,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Juliana Hotel - Colombo,Hotel,6.927079,79.861244,5000,2.5,Colombo,Western
Ocean Edge Suites & Hotel,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
"Ceylon City Hotel, Colombo",Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Wonder Hotel Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Uga Residence,Hotel,6.927079,79.861244,25000,4.5,Colombo,Western
Hostel at Galle Face,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Miracle City Inn,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Hotel Sapphire,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Palmyrah Residencies,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Hilton Colombo Residences,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
City Hotel Colombo 02,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
55TG's Boutique Suites,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Prana Home,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
The Residence,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Havelock City Hostel,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Lost and Found Colombo Hostel & Cafe,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Seconds Hostel & Cafe,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Taru Villas - Lake Lodge,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Colombo Residency,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Sayura House,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Pearl City Hotel,Hotel,6.927079,79.861244,5000,3.0,Colombo,Western
Sheraton Colombo Hotel,Hotel,6.927079,79.861244,15000,3.0,Colombo,Western
Great Southern Hotel (GSH),Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Clock Inn Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
The Angler,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Colombo City Hotel,Hotel,6.927079,79.861244,5000,3.0,Colombo,Western
Radisson Hotel Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Cheers Pub,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Omega Regency,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Lafala Hotel,Hotel,6.927079,79.861244,5000,3.0,Colombo,Western
Nelly Marine Hotel,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Maniumpathy,Hotel,6.927079,79.861244,25000,5.0,Colombo,Western
Palm Nest,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
OYO 108 Eestee Rest,Hotel,6.927079,79.861244,5000,1.5,Colombo,Western
Fern Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Fairway Colombo,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Trillium Hotel,Hotel,6.927079,79.861244,5000,3.0,Colombo,Western
Brighten Hotels,Hotel,6.927079,79.861244,5000,3.0,Colombo,Western
Villa Talangama,Hotel,6.927079,79.861244,14055,5.0,Colombo,Western
Apna Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Srilax Stay,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Frangipani Homestay,Hotel,6.927079,79.861244,5455,5.0,Colombo,Western
Silvikris Villas,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Queens Park Apartments,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Urban Bliss Studio,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Thambili Island @ Stubbs,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Star Class Comfort Capital City,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Star Anise Boutique Capsules,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Shalimar Hotel,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Unique Towers Luxury Boutique Suites,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Calorie Counter Colombo,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Waters Edge,Restaurant,6.927079,79.861244,15000,4.0,Colombo,Western
LOON TAO,Restaurant,6.927079,79.861244,15000,4.0,Colombo,Western
Bunkyard Hostels,Hotel,6.927079,79.861244,13224,4.5,Colombo,Western
Park Street Trattoria,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Port View City Hotel,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
The Den 23,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Mini's Residence,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
The Colombo Hotel,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Supun Arcade Residency,Hotel,6.927079,79.861244,5000,3.5,Colombo,Western
Villa Capers,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Bhakthi Yoga Sri Lanka,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Pearl Grand Hotel,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Bed Hostel Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
City Beds The Regent,Hotel,6.927079,79.861244,25000,4.0,Colombo,Western
Sea Shine Beach Hotel,Hotel,6.927079,79.861244,5000,3.0,Colombo,Western
Moss Colombo,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Greenscape Colombo,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
The Mangrove,Hotel,6.927079,79.861244,12464,5.0,Colombo,Western
Drop Inn,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Colombo House by Ceilao Villas,Hotel,6.927079,79.861244,10000,4.5,Colombo,Western
Bangalawa,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Tintagel Colombo - Paradise Road,Restaurant,6.927079,79.861244,25000,4.5,Colombo,Western
Platinum One Suites,Hotel,6.927079,79.861244,10000,3.5,Colombo,Western
Aathma Colombo House,Hotel,6.927079,79.861244,10000,5.0,Colombo,Western
The Poolside Bar and Terrace,Restaurant,6.927079,79.861244,15000,4.0,Colombo,Western
D Pavilion inn,Hotel,6.927079,79.861244,9261,4.5,Colombo,Western
Majestic Apartments,Hotel,6.927079,79.861244,5000,4.0,Colombo,Western
Grand 7 Hotel Thalawathugoda,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
A Minute by Tuk Tuk Colombo,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Upali's,Restaurant,6.927079,79.861244,15000,4.0,Colombo,Western
College House College Street,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Yumi,Restaurant,6.927079,79.861244,25000,4.5,Colombo,Western
Cricket Club Cafe,Restaurant,6.927079,79.861244,15000,4.0,Colombo,Western
Heritage Villa Colombo 7,Hotel,6.927079,79.861244,5000,1.0,Colombo,Western
Thuna Paha,Restaurant,6.927079,79.861244,15000,4.5,Colombo,Western
Olu Colombo Villa,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Life's Good Kitchen,Restaurant,6.927079,79.861244,15000,5.0,Colombo,Western
Raja Bojun,Restaurant,6.927079,79.861244,15000,4.0,Colombo,Western
My Little Island Hostel,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Visakha 6,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Delma Bungalow,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
Black Cat Bed and Breakfast,Hotel,6.927079,79.861244,5000,4.5,Colombo,Western
OYO MotelVIP,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
RR House,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
Rosmead Place by Thilanka,Hotel,6.927079,79.861244,5000,5.0,Colombo,Western
