name,latitude,longitude,wikipedia_link,category,rating,entrance_fee_lkr,time_required_hours,description,district,province
Kaudulla National Park,8.16111111,80.905,https://en.wikipedia.org/wiki/Kaudulla_National_Park,Top Tourist Attraction,4.6,RS. 2000,08.00 am - 05.00 pm,"Kaudulla National Park is a national park on the island of Sri Lanka located 197 kilometres (122 mi) away from the largest city, Colombo. It was designated a national park on April 1, 2002, becoming the 15th such area on the island. In the 2004–2005 season more than 10,000 people visited the National Park, generating an income of Rs.100,000 from entrance fees. Along with Minneriya and Girithale BirdLife International have identified Kaudulla as an Important Bird Area.",Polonnaruwa,North Central
Wasgamuwa National Park,7.71667,80.9333,https://en.wikipedia.org/wiki/Wasgamuwa_National_Park,Top Tourist Attraction,4.5,RS. 2000,08.00 am - 05.00 pm,"Wasgamuwa National Park is a natural park in Sri Lanka situated in the Matale and Polonnaruwa Districts. It was declared to protect and to make a refuge for the displaced wild animals during the Mahaweli Development Project in 1984 and is one of the four National Parks designated under the Project. Originally it was designated as a nature reserve in 1938, and then in the early 1970s the area was regraded as a strict nature reserve. Wasgamuwa is one of the protected areas where Sri Lankan Elephants can be seen in large herds. It is also one of the Important Bird Areas in Sri Lanka. The name of the Wasgamuwa has derived from the words ""Walas Gamuwa"". ""Walasa"" is Sinhala for sloth bear and ""Gamuwa"" means a wood. The park is situated 225 km away from Colombo.",Matale,Central
Angammedilla National Park,7.9212,80.9119,https://en.wikipedia.org/wiki/Angammedilla_National_Park,Top Tourist Attraction,4.1,RS. 1300,08.00 am - 05.00 pm,"Angammedilla National Park is one of the new national parks in Sri Lanka. The region was designated national park on 6 June 2006. Originally Angammedilla was a forest reserve within the Minneriya-Girithale Sanctuary declared on 12 February 1988. The park is declared mainly to protect the drainage basin of Parakrama Samudra. Angammedilla also secures the drainage basins of Minneriya and Girithale irrigation tanks, water sources in Sudu Kanda and habitats and wildlife of the adjacent forests. It is located 225 kilometres (140 mi) away from Colombo in Polonnaruwa District.",Polonnaruwa,North Central
Horagolla National Park,7.13944444,80.08555556,https://en.wikipedia.org/wiki/Horagolla_National_Park,Top Tourist Attraction,2.8,RS. 1300,08.00 am - 05.00 pm,"Horagolla National Park is one of the latest national parks in Sri Lanka. It is so called because of an abundance of Dipterocarpus zeylanicus (hora) trees. The area was originally declared as a wildlife sanctuary on 5 September 1973 due to its rich biodiversity. Later on 24 June 2004, Horagolla was elevated to national park status. Horagolla is the only urban park in the Western Province of Sri Lanka. The park is situated close to Horagolla Walauwa, the home of the Bandaranaike family. The park is situated some 40 kilometres (25 mi) from Colombo.",Gampaha,Western
Somawathiya National Park,8.12083333,81.16888889,https://en.wikipedia.org/wiki/Somawathiya_National_Park,Top Tourist Attraction,4.6,RS. 00,08.00 am - 05.00 pm,"Somawathiya National Park is one of the four national parks designated under the Mahaweli River development project. Somawathiya Chaitya, a stupa said to be containing a relic of the tooth of the Buddha, is situated within the park. The park was created on 2 September 1986, having been originally designated a wildlife sanctuary on 9 August 1966. The park is home to many megaherbivores. The national park is located 266 kilometres (165 mi) north-east of Colombo.",Polonnaruwa,North Central
Lahugala Kitulana National Park,6.88333333,81.66666667,https://en.wikipedia.org/wiki/Lahugala_Kitulana_National_Park,Top Tourist Attraction,4.2,RS. 2000,08.00 am - 05.00 pm,"Lahugala Kitulana National Park is one of the smallest national parks in Sri Lanka. Despite its land area, the park is an important habitat for Sri Lankan elephant and endemic birds of Sri Lanka. The national park contains the reservoirs of Lahugala, Kitulana and Sengamuwa and they are ultimately empties to Heda Oya river. Originally it was designated as a wildlife sanctuary on July 1 of 1966. Then the protected area was upgraded to a national park on October 31 of 1980. Lahugala Kitulana is situated 318 km east of Colombo.",Ampara,Eastern
Gal Oya National Park,7.21666667,81.36666667,https://en.wikipedia.org/wiki/Gal_Oya_National_Park,Top Tourist Attraction,4.6,RS. 2000,08.00 am - 05.00 pm,"Gal Oya National Park in Sri Lanka was established in 1954 and serves as the main catchment area for Senanayake Samudraya, the largest reservoir in Sri Lanka. Senanayake Samudraya was built under the Gal Oya development project by damming the Gal Oya at Inginiyagala in 1950. An important feature of the Gal Oya National Park is its elephant herd that can be seen throughout the year. Three important herbs of the Ayurveda medicine, triphala: Terminalia chebula, Terminalia bellirica and Emblica officinalis are amongst the notable flora of the forest. From 1954 to 1965 the park was administrated by the Gal Oya Development Board until the Department of Wildlife Conservation took over administration. The national park is situated 314 km from Colombo.",Ampara,Eastern
Nilaveli,8.68333333,81.2,https://en.wikipedia.org/wiki/Nilaveli,Top Tourist Attraction,5.1,RS. 00,08.00 am - 05.00 pm,"Nilaveli is a coastal resort town and suburb of the Trincomalee District, Sri Lanka located 16 km northwest of the city of Trincomalee. A historically popular Tamil village and tourist destination of the district alongside the nearby Uppuveli, the numbers of visitors declined following the 2004 Indian Ocean tsunami and Sri Lankan Civil War, but have risen again since 2010.
Pigeon Island National Park, one of the two marine national parks of the region is situated 1 km off the coast of Nilaveli, its many species of vegetation, coral and reef fish contributing to Nilaveli's rich biodiversity.",Trincomalee,Eastern
Horton Plains National Park,6.8,80.8,https://en.wikipedia.org/wiki/Horton_Plains_National_Park,Top Tourist Attraction,5.6,RS. 2500,08.00 am - 05.00 pm,"Horton Plains National Park is a national park in the central highlands of Sri Lanka that was designated in 1988. It encompasses an area of 31 km2 (12 sq mi) and borders Thotupalakanda Nature Reserve. It is located at an elevation of 2,100–2,300 m (6,900–7,500 ft) and encompasses montane grassland and cloud forest. It is rich in biodiversity and many species found here are endemic to the region.",Nuwara Eliya,Central
Lunugamvehera National Park,6.38333333,81.23333333,https://en.wikipedia.org/wiki/Lunugamvehera_National_Park,Top Tourist Attraction,3.8,RS. 00,08.00 am - 05.00 pm,"Lunugamvehera National Park in Sri Lanka was declared in 1995, with the intention of protecting the catchment area of the Lunugamvehera reservoir and wildlife of the area. The national park is an important habitat for water birds and elephants. The catchment area is vital to maintain the water levels of the five tanks in the down stream of Kirindi Oya and wetland characteristics of Bundala National Park. This national park also serves as a corridor for elephants to migrate between Yala National Park and Udawalawe National Park. The national park is situated 261 km (162 mi) southwest from Colombo. After being closed because of the Sri Lankan civil war, the national park is now open to the general public.",Hambantota,Southern
Yala National Park,6.26666667,81.33333333,https://en.wikipedia.org/wiki/Yala_National_Park,Top Tourist Attraction,5.1,RS. 2500,08.00 am - 05.00 pm,"Yala National Park is a national park in Sri Lanka, bordering the Indian Ocean and covering 979 km2 (378 sq mi). It was designated as a wildlife sanctuary in 1900. It hosts diverse ecosystems ranging from moist monsoon forests to freshwater and marine wetlands, and is important for the conservation of Sri Lankan elephants, Sri Lankan leopards and 44 mammal species. It is one of the 70 Important Bird Areas in Sri Lanka harbouring 215 bird species including six endemic species of Sri Lanka.",Hambantota,Southern
Wilpattu National Park,8.43333,80,https://en.wikipedia.org/wiki/Wilpattu_National_Park,Top Tourist Attraction,5.1,RS. 2500,08.00 am - 05.00 pm,"Wilpattu National Park is a national park in Sri Lanka. The unique feature of this park is the existence of ""Willus"" – natural, sand-rimmed water basins or depressions that fill with rainwater. Located on the northwest coast lowland dry zone of Sri Lanka, the park is 30 km (19 mi) west of Anuradhapura and 26 km (16 mi) north of Puttalam. The park is 1,317 km2 (508 sq mi) in area and ranges from 0–152 m (0–499 ft) above sea level. Nearly one hundred and six lakes (Willu) and tanks are found spread throughout Wilpattu. Wilpattu is the largest and one of the oldest national parks in Sri Lanka. Wilpattu is world-renowned for its leopard population. A remote camera survey conducted in Wilpattu from July to October 2015 by the Wilderness and Wildlife Conservation Trust captured photographs of forty-nine individual leopards in the surveyed area, the core area density of which was between that of Yala National Park's Block I and Horton Plains National Park.",Anuradhapura,North Central
Minneriya National Park,7.97888889,80.84888889,https://en.wikipedia.org/wiki/Minneriya_National_Park,Top Tourist Attraction,4.8,RS. 2500,08.00 am - 05.00 pm,"Minneriya National Park is a national park in North Central Province of Sri Lanka. The area was designated as a national park on 12 August 1997, having been originally declared as a wildlife sanctuary in 1938. The reason for declaring the area as protected is to protect the catchment of Minneriya tank and the wildlife of the surrounding area. The tank is of historical importance, having been built by King Mahasen in third century AD. The park is a dry season feeding ground for the elephant population dwelling in forests of Matale, Polonnaruwa, and Trincomalee districts. The park earned revenue of Rs. 10.7 million in the six months ending in August 2009. Along with Kaudulla and Girithale, Minneriya forms one of the 70 Important Bird Areas (IBAs) of Sri Lanka. The park is situated 182 kilometres (113 mi) from Colombo.",Polonnaruwa,North Central
Horowpathana National Park,8.6192525,80.8301721,https://en.wikipedia.org/wiki/Horowpathana_National_Park,Top Tourist Attraction,3.1,RS. 00,08.00 am - 05.00 pm,"Horowpathana National Park is the 23rd national park in Sri Lanka. It is located in north eastern Sri Lanka, approximately 53 km (33 mi) west of Trincomalee and 64 km (40 mi) north-east of Anuradhapura.",Anuradhapura,North Central
Ussangoda,6.1,80.9894,https://en.wikipedia.org/wiki/Ussangoda_National_Park,Top Tourist Attraction,4.8,RS. 00,08.00 am - 05.00 pm,"Ussangoda National Park is a Sri Lankan national park and designated archaeological site, situated on the Colombo – Kataragama road near Ambalantota – Nonagama Junction in Hambantota District. It is located in the southern sea turtle breeding zones. Ussangoda is a patch of high ground by the sea and spreads over a significant area. Unlike the rest of the land surrounding, it is only covered with grass and a few pockets of pigmy forests. The summit of Ussangoda area pans like a plateau for a significant length.",Hambantota,Southern
Flood Plains National Park,7.91813,81.08665,https://en.wikipedia.org/wiki/Flood_Plains_National_Park,Top Tourist Attraction,1.5,RS. 00,08.00 am - 05.00 pm,Flood Plains National Park is one of the four national parks set aside under the Mahaweli River development project in Sri Lanka. The park was created on 7 August 1984. The national park is situated along the Mahaweli flood plain and is considered a rich feeding ground for elephants. Flood Plains National Park is considered an elephant corridor for the elephants migrate between Wasgamuwa and Somawathiya national parks. The park is situated 222 kilometres (138 mi) north-east of Colombo.,Polonnaruwa,North Central
Galway's Land National Park,6.96666667,80.77722222,https://en.wikipedia.org/wiki/Galway%27s_Land_National_Park,Top Tourist Attraction,1.7,RS. 00,08.00 am - 05.00 pm,"Galways Land National Park is a small 27 ha (0.10 mi2) national park consisting of dense montane forest. It is located within the city limits of Nuwara Eliya in Sri Lanka, approximately 2 km (1 mi) east of the city centre. The area was first declared a wildlife sanctuary on 27 May 1938, and later upgraded to national park status on 18 May 2006. The park was established to conserve the unique montane ecosystems of the region.",Nuwara Eliya,Central
Chundikkulam National Park,9.49861111,80.50694444,https://en.wikipedia.org/wiki/Chundikkulam_National_Park,Top Tourist Attraction,3.9,RS. 00,08.00 am - 05.00 pm,"Chundikkulam National Park is a national park in northern Sri Lanka, approximately 12 km (7 mi) north east of Kilinochchi.",Kilinochchi,Northern
Delft National Park,9.49722222,79.7,https://en.wikipedia.org/wiki/Delft_National_Park,Top Tourist Attraction,4.4,RS. 1000,08.00 am - 05.00 pm,"Delft National Park is a national park on the island of Neduntivu (Delft) in northern Sri Lanka, approximately 35 km (22 mi) south west of Jaffna.",Jaffna,Northern
Maduru Oya National Park,7.57583333,81.14277778,https://en.wikipedia.org/wiki/Maduru_Oya_National_Park,Top Tourist Attraction,4.4,RS. 1000,08.00 am - 05.00 pm,"Maduru Oya National Park is a national park of Sri Lanka, established under the Mahaweli development project and also acts as a catchment of the Maduru Oya Reservoir. The park was designated on 9 November 1983. Providing a sanctuary to wildlife, especially for elephants and protecting the immediate catchments of five reservoirs are the importance of the park. A community of Vedda people, the indigenous ethnic group of Sri Lanka lives within the park boundary in Henanigala. The park is situated 288 kilometres (179 mi) north-east of Colombo.",Ampara,Eastern
Pigeon Island National Park,8.716666667,81.2,https://en.wikipedia.org/wiki/Pigeon_Island_National_Park,Top Tourist Attraction,4.7,RS. 00,08.00 am - 05.00 pm,"Pigeon Island National Park is one of the three marine national parks of Sri Lanka. The national park is situated 1 km off the coast of Nilaveli, a coastal town in Eastern Province, encompassing a total area of 471.429 hectares. The island's name derives from the rock pigeon which has colonized it. The national park contains some of the best remaining coral reefs of Sri Lanka. Pigeon Island was designated as a sanctuary in 1963. In 2003 it was re-designated as a national park, making it the 17th such park in Sri Lanka. The island was used as a shooting range during the colonial era. Pigeon Island was one of the several protected areas affected by the Indian Ocean tsunami in 2004.",Trincomalee,Eastern
Madhu Road National Park,8.93055556,80.21388889,https://en.wikipedia.org/wiki/Madhu_Road_National_Park,Top Tourist Attraction,2.7,RS. 00,08.00 am - 05.00 pm,"Madhu Road National Park is a national park in northern Sri Lanka, approximately 25 km (16 mi) east of Mannar.",Mannar,Northern
Hikkaduwa National Park,6.145,80.0925,https://en.wikipedia.org/wiki/Hikkaduwa_National_Park,Top Tourist Attraction,5.4,RS. 1000,08.00 am - 05.00 pm,"Hikkaduwa National Park is one of the three marine national parks in Sri Lanka. The national park contains a fringing coral reef of high degree of biodiversity. The area was declared a wildlife sanctuary on May 18, 1979, and then on August 14, 1988, upgraded to a nature reserve with extended land area. The growth of the number of visitors in the next 25 years increased the degradation of the coral reef. To reduce the effects to the ecosystem, the reef was declared a national park on September 19, 2002.",Galle,Southern
Bundala National Park,6.213888889,81.225,https://en.wikipedia.org/wiki/Bundala_National_Park,Top Tourist Attraction,5.3,RS. 1500,08.00 am - 05.00 pm,"Bundala National Park is an internationally important wintering ground for migratory water birds in Sri Lanka. Bundala harbors 197 species of birds, the highlight being the greater flamingo, which migrate in large flocks. Bundala was designated a wildlife sanctuary in 1969 and redesignated to a national park on 4 January 1993. In 1991 Bundala became the first wetland to be declared as a Ramsar site in Sri Lanka. In 2005 the national park was designated as a biosphere reserve by UNESCO, the fourth biosphere reserve in Sri Lanka. The national park is situated 245 kilometres (152 mi) southeast of Colombo.",Hambantota,Southern
Adam's Bridge Marine National Park,9.07083333,79.62833333,https://en.wikipedia.org/wiki/Adam%27s_Bridge_Marine_National_Park,Top Tourist Attraction,3.9,RS. 00,08.00 am - 05.00 pm,"Adam's Bridge Marine National Park is a national park surrounding Adam's Bridge in northern Sri Lanka, approximately 30 km (19 mi) north west of Mannar.",Mannar,Northern
Kukulugala,6.664444444,80.26388889,https://en.wikipedia.org/wiki/Kukulugala,Top Tourist Attraction,0.4,RS. 00,08.00 am - 05.00 pm,"Kukulugala is a mountain in the Nuwara Eliya District of Sri Lanka. At a summit elevation of 704 m (2,310 ft), it is the 18th tallest mountain in Sri Lanka.",Ratnapura,Sabaragamuwa
Adam's Peak,6.809444444,80.49972222,https://en.wikipedia.org/wiki/Adam%27s_Peak,Top Tourist Attraction,5.5,RS. 00,08.00 am - 05.00 pm,"Adam's Peak is a 2,243-metre-tall (7,359-foot) conical sacred mountain located in central Sri Lanka. It is well known for the Sri Pada, a 1.8 m rock formation resembling a footprint near the summit whose name is also used for the mountain itself. In Buddhist tradition the print is held to be the footprint of the Buddha, later in Sri Lankan Hindu tradition that of Hanuman or Shiva, and in some Islamic and Christian traditions that of Adam or St. Thomas the Apostle.",Nuwara Eliya,Central
Ritigala,8.108611111,80.65611111,https://en.wikipedia.org/wiki/Ritigala,Top Tourist Attraction,5.1,RS. 1000,08.00 am - 05.00 pm,Ritigala is a mountain in central Sri Lanka which is home to an ancient Buddhist monastery. The ruins and rock inscriptions of the monastery date back to 1st century BCE. It is located 43 km (27 mi) away from the ancient monastic city of Anuradhapura.,Anuradhapura,North Central
Conical Hill,6.9125,80.77583333,https://en.wikipedia.org/wiki/Conical_Hill_(Sri_Lanka),Top Tourist Attraction,4.2,RS. 1000,08.00 am - 05.00 pm,"Conical Hill is a 2,166-metre-high (7,106 ft) mountain situated in the Nuwara Eliya District of Sri Lanka. It is the 9th highest mountain in Sri Lanka.",Nuwara Eliya,Central
Gonmollikanda,6.76666667,80.80916667,https://en.wikipedia.org/wiki/Gonmollikanda,Top Tourist Attraction,2.6,RS. 00,08.00 am - 05.00 pm,"Gonmollikanda is regarded as the 13th highest mountain in Sri Lanka situated at 2,034 m (6,673 ft) above mean sea level. The mountain got its name from the native language of Sri Lanka, Sinhala as the peak of the mountain has a shape of hump of a bull. In Sinhala 'Gommolliya' has the meaning of 'Hump of the bull'. Another popular mountain peak named Balathoduwa is also situated close to Gommolli Kanda. These two mountain peaks are visible from World's End of Horton Plains National Park on a clear day without heavy mist. Sri Lanka's highest waterfall, Bambarakanda Falls, is also situated close to Gommolli Kanda.",Ratnapura,Sabaragamuwa
Totapolakanda,6.833055556,80.81972222,https://en.wikipedia.org/wiki/Totapolakanda,Top Tourist Attraction,4.9,RS. 00,08.00 am - 05.00 pm,"Totapolakanda, is the third highest mountain in Sri Lanka situated in Nuwara Eliya district 2,357 m (7,733 ft) above mean sea level. The mountain is located within the Horton Plains National Park. A trail to the top of the mountain, about two kilometres long, starts a few metres away from the Pattipola entrance to the Horton Plains National Park. Most parts of the mountain surface is covered with shrubs adapted to the cool and windy climate of Horton Plains National Park. Strobilanthes, Osbeckia and Rhodomyrtus species grown as shrubs are common among them.",Nuwara Eliya,Central
Kokagala,7.416666667,81.20805556,https://en.wikipedia.org/wiki/Kokagala,Top Tourist Attraction,0.4,RS. 00,08.00 am - 05.00 pm,"Kokagala is an isolated mountain in the Ampara District of Sri Lanka. At a summit elevation of 687 m (2,254 ft), it is the 19th tallest mountain in Sri Lanka.",Ampara,Eastern
Mahakudagala,7.043055556,80.84444444,https://en.wikipedia.org/wiki/Mahakudagala,Top Tourist Attraction,0.1,RS. 00,08.00 am - 05.00 pm,"Mahakudagala is a mountain in the Nuwara Eliya District of Sri Lanka. It is located approximately 11 kilometres (7 mi) north east of Nuwara Eliya and with a summit elevation of 2,100 m (6,890 ft), it is the 10th tallest mountain in Sri Lanka together with One Tree Hill.",Nuwara Eliya,Central
Kataragama Peak,6.386666667,81.33583333,https://en.wikipedia.org/wiki/Kataragama_Peak,Top Tourist Attraction,3.2,RS. 00,08.00 am - 05.00 pm,"Kataragama Peak is a mountain near Kataragama, in the Monaragala District of Sri Lanka. At a summit elevation of 424 m (1,391 ft), it is the 25th tallest mountain in Sri Lanka.",Moneragala,Uva
Bible Rock,7.18833,80.4344,https://en.wikipedia.org/wiki/Bible_Rock,Top Tourist Attraction,3.8,RS. 00,08.00 am - 05.00 pm,"Bible Rock is a mountain near the town of Aranayake in Kegalle District in central Sri Lanka. It derives its name ""Bible rock"" from its resemblance to a book on a lectern.",Kegalle,Sabaragamuwa
Mihintale,8.350594,80.516945,https://en.wikipedia.org/wiki/Mihintale,Top Tourist Attraction,4.9,RS. 00,08.00 am - 05.00 pm,"Mihintale is a mountain peak near Anuradhapura in Sri Lanka. It is believed by Sri Lankans to be the site of a meeting between the Buddhist monk Mahinda and King Devanampiyatissa which inaugurated the presence of Buddhism in Sri Lanka. It is now a pilgrimage site, and the site of several religious monuments and abandoned structures.",Anuradhapura,North Central
Saptha Kanya,6.89798333,80.49999167,https://en.wikipedia.org/wiki/Saptha_Kanya,Top Tourist Attraction,4.8,RS. 00,08.00 am - 05.00 pm,"Saptha Kanya is a mountain range in Maskeliya, Sri Lanka. In Tamil it is known as Anjimalai. It is a ridge of seven peaks near the Norton Estate bordering the Sabaragamuwa Province and Central Province. The tallest peak is 1,569 m from the sea level.",Nuwara Eliya,Central
Galgiriya Mountain,7.93416667,80.38083333,https://en.wikipedia.org/wiki/Galgiriya_Mountain,Top Tourist Attraction,2.1,RS. 00,08.00 am - 05.00 pm,"Galgiriya Mountain is an isolated mountain located in Kurunegala District in Sri Lanka. The mountain is 478 metres (1,568 ft) high and it ranks as the 7th highest mountain in North Western province and the 212th highest mountain in Sri Lanka. Galgiriya Mountain is noted for its unique length about 7 km which is different from other isolated mountains or hills in the area. At present the mountain is a forest reserve as it consists of many types of valuable flora and fauna.",Kurunegala,North Western
Kirigalpoththa,6.79916667,80.76666667,https://en.wikipedia.org/wiki/Kirigalpoththa,Top Tourist Attraction,3.8,RS. 00,08.00 am - 05.00 pm,"Kirigalpoththa is the second-tallest mountain in Sri Lanka at 2,388 m (7,835 ft) above mean sea level, and is also the highest mountain in the country whose summit is accessible to the general public. The peak is situated near the city of Nuwara Eliya, within the Nuwara Eliya District. Only one seven-kilometre hiking trail provides access to the mountain's summit via the Horton Plains National Park, although the trail is not very popular.",Nuwara Eliya,Central
Dimbulagala,7.86,81.14361111,https://en.wikipedia.org/wiki/Dimbulagala,Top Tourist Attraction,4.7,RS. 00,08.00 am - 05.00 pm,"Dimbulagala also known as Gunner's Quoin or Gunner's Rock during the British colonial period, is a rock formation in the Polonnaruwa District of Sri Lanka. By the time anthropologist Charles Gabriel Seligman visited the location in 1911, a cave within the rock had become a refuge of the indigenous Vedda people. During the 12th century AD, The Sinhalese people had constructed a Buddhist monastery within the rock formation. The Dimbulagala Raja Maha Vihara monastery was restored in the 1950s. The villagers around the rock are of mixed Vedda and Sinhalese ancestry.",Polonnaruwa,North Central
Randles Hill,7.27863889,80.61808333,https://en.wikipedia.org/wiki/Randles_Hill,Top Tourist Attraction,3.2,RS. 00,08.00 am - 05.00 pm,"Randles Hill is a hill located in the suburb of Mulgampola in Kandy, Sri Lanka.",Kandy,Central
Lakegala,7.433333333,80.83333333,https://en.wikipedia.org/wiki/Lakegala,Top Tourist Attraction,5.3,RS. 00,08.00 am - 05.00 pm,Lakegala mountain is situated in Sri Lanka about 175 kilometres (109 mi) away from the capital Colombo. This mountain is situated in Meemure village.,Matale,Central
Rassagala,7.47797,81.6329,https://en.wikipedia.org/wiki/Rajagala,Top Tourist Attraction,5.2,RS. 00,08.00 am - 05.00 pm,"Rajagala (Sinhala: රජගල), commonly Rassaagala or Rajagalathenna, is a rugged and heavily forested mountain situated 1,038 feet (316 m) above sea level, in a sparsely populated part of Eastern Province, Sri Lanka which has an important archaeological value. The Rajagala archaeological site is only second to the Mihintale monastery in Anuradhapura and it spreads over 1,600 acres. It consists more than 600 prehistoric ruins, monuments and artifacts, and nearly 100 of them are ancient stupas.",Ratnapura,Sabaragamuwa
Kudahagala,6.813055556,80.78305556,https://en.wikipedia.org/wiki/Kudahagala,Top Tourist Attraction,1.5,RS. 00,08.00 am - 05.00 pm,"Kudahagala is a 2,320-metre-high (7,612 ft) mountain situated in Sri Lanka. It is the 4th tallest in the country.",Nuwara Eliya,Central
Hakgala,6.916944444,80.81388889,https://en.wikipedia.org/wiki/Hakgala,Top Tourist Attraction,5.6,RS. 00,08.00 am - 05.00 pm,"Hakgala is a mountain situated in the Nuwara Eliya district of Sri Lanka at 2,169 m (7,116 ft) above mean sea level, most parts of the mountain are covered with forest belonging to Hakgala Strict Nature Reserve. Hakgala Botanical Garden is situated on the northeastern slope of the Hakgala Mountain. The southwestern side of the mountain has a wet climate compared to the northeastern slope since the southwestern part faces directly to the southwest Monsoon.",Nuwara Eliya,Central
Kikilimana,6.985,80.74666667,https://en.wikipedia.org/wiki/Kikilimana,Top Tourist Attraction,5.1,RS. 00,08.00 am - 05.00 pm,"Kikilimana is a mountain in the Central Province of Sri Lanka. At a summit elevation of 2,240 m (7,349 ft), it is the 6th tallest mountain in Sri Lanka, after Pidurutalagala, Kirigalpotta, Totapolakanda, Kudahagala, and Adam's Peak. The peak covers an extent of 4,858.6 hectares.",Nuwara Eliya,Central
One Tree Hill,6.957777778,80.7625,https://en.wikipedia.org/wiki/One_Tree_Hill_(Sri_Lanka),Top Tourist Attraction,4.5,RS. 00,08.00 am - 05.00 pm,"One Tree Hill is a 2,100-metre-high (6,890 ft) mountain situated in the Nuwara Eliya District of Sri Lanka. It is the 10th highest mountain in Sri Lanka.",Nuwara Eliya,Central
Gongala,6.385833333,80.65388889,https://en.wikipedia.org/wiki/Gongala,Top Tourist Attraction,4.6,RS. 00,08.00 am - 05.00 pm,"Gongala is a mountain in the Ratnapura District of Sri Lanka. At a summit elevation of 1,358 m (4,455 ft). It is the 15th tallest mountain in Sri Lanka.",Ratnapura,Sabaragamuwa
Adara Kanda,6.75083333,80.77388889,https://en.wikipedia.org/wiki/Adara_Kanda,Top Tourist Attraction,0.2,RS. 00,08.00 am - 05.00 pm,"Adara Kanda, also known as Paraviyangala, and commonly known as Lovers' Peak, is a mountain in Sri Lanka. It falls within the Kalupahana mountain range. It is located approximately 5 km (3.1 mi) north east of Belihuloya in the Sabaragamuwa Province of Sri Lanka.",Ratnapura,Sabaragamuwa
Great Western Mountain,6.96666667,80.69388889,https://en.wikipedia.org/wiki/Great_Western_Mountain,Top Tourist Attraction,4.9,RS. 00,08.00 am - 05.00 pm,"Great Western Mountain is the 8th highest mountain in Sri Lanka. It is located in Nuwara Eliya District. Its trail is ranked as difficult due to its steep incline and difficult, unclear path.",Nuwara Eliya,Central
Arugam Bay Beach,6.8436,81.8266,https://en.wikipedia.org/wiki/Arugam_Bay,Surfing/Beach,4.8,RS. 0,06.00 am - 06.00 pm,Arugam Bay is a popular surfing and tourist destination situated on the Indian Ocean in the dry zone of Sri Lanka's southeast coast. It is world-renowned for its surfing points.,Ampara,Eastern
Weligama Beach,5.973,80.4286,https://en.wikipedia.org/wiki/Weligama,Surfing/Beach,4.6,RS. 0,06.00 am - 06.00 pm,"Weligama is a popular tourist destination and a haven for surfers, especially beginners, due to its sandy sweep of bay and reliable waves.",Matara,Southern
Mirissa Beach,5.9483,80.4578,https://en.wikipedia.org/wiki/Mirissa,Surfing/Beach,4.7,RS. 0,06.00 am - 06.00 pm,"Mirissa is famous for its beautiful crescent beach, surfing waves, and is also a prime location for whale and dolphin watching.",Matara,Southern
Hiriketiya Beach,5.9655,80.7027,,Surfing/Beach,4.8,RS. 0,06.00 am - 06.00 pm,"Hiriketiya is a beautiful horseshoe-shaped bay famous for surfing and relaxed beach vibes, making it a fast-growing favorite for tourists.",Matara,Southern
Hikkaduwa Beach,6.1384,80.1065,https://en.wikipedia.org/wiki/Hikkaduwa,Surfing/Beach,4.5,RS. 0,06.00 am - 06.00 pm,"Hikkaduwa is known for its strong surf, coral sanctuary, and vibrant nightlife, making it one of the most popular beach destinations in the south.",Galle,Southern
Kitulgala White Water Rafting,6.9961,80.4136,https://en.wikipedia.org/wiki/Kitulgala,Adventure,4.7,RS. 5000,08.00 am - 02.00 pm,"Kitulgala is famous for white water rafting in the Kelani River, offering an adrenaline-filled adventure through the rainforest.",Kegalle,Sabaragamuwa
Sandun Ella Abseiling,7,80.4166,,Adventure/Climbing,4.8,RS. 6000,08.00 am - 03.00 pm,"Waterfall abseiling at Sandun Ella is an exciting adventure activity located near Kitulgala, giving you the chance to rappel down a stunning waterfall.",Kegalle,Sabaragamuwa
Pidurangala Rock,7.9656,80.7629,https://en.wikipedia.org/wiki/Pidurangala_Vihara,Climbing/Adventure,4.8,RS. 1000,05.00 am - 06.00 pm,"Pidurangala is a massive rock formation situated opposite Sigiriya, offering great hiking, climbing, and breathtaking 360-degree panoramic views.",Matale,Central
Flying Ravana Mega Zipline,6.8744,80.0519,,Adventure,4.8,RS. 8000,09.00 am - 05.00 pm,"Sri Lanka’s first ever mega dual zip-line, located amidst the lush green estates of Ella, offering a thrilling bird's-eye view of the beautiful hills.",Badulla,Uva
Knuckles Mountain Range,7.4042,80.778,https://en.wikipedia.org/wiki/Knuckles_Mountain_Range,Climbing/Adventure,4.8,RS. 1000,06.00 am - 06.00 pm,"The Knuckles Mountain Range is famous for its stunning hiking and trekking trails, deep forests, and unique biodiversity.",Kandy,Central
Ella Rock,6.8622,80.0544,,Climbing/Adventure,4.7,RS. 0,06.00 am - 02.00 pm,Ella Rock is a famous cliff in Ella offering a challenging yet highly rewarding hike with spectacular views of the hill country.,Badulla,Uva
Little Adam's Peak,6.8711,80.0631,,Climbing/Adventure,4.8,RS. 0,06.00 am - 06.00 pm,"A relatively easy hike compared to Ella Rock, offering stunning panoramic views of the Ella gap and surrounding tea plantations.",Badulla,Uva
